INSTNM,CITY,STABBR,ZIP
Keiser University-Ft Myers,Ft Myers,FL,33905-0000
Keiser University -  Clearwater,Clearwater,FL,33764-0000
Keiser University - New Port Richey,New Port Richey,FL,34652-0000
Keiser University - Residential (Flagship),West Palm Beach,FL,33409-0000
Maynard A. Traviss Technical College - Central Florida Aerospace Academy,Lakeland,FL,33811-1249
Miami Lakes Educational Center and Technical College -,Miami Lakes,FL,33014-6720
Rasmussen University-Central Pasco,Odessa,FL,33556
Rasmussen University-Fort Myers,Fort Myers,FL,33905-7805
Rasmussen University-Tampa/Brandon,Brandon,FL,33511
Rasmussen University-Land O' Lakes,Land O'Lakes,FL,34638-9558
East Georgia State College - Statesboro,Statesboro,GA,30460
East Georgia State College - Augusta,Augusta,GA,30912-4562
Moody Theological Seminary and Graduate School--Michigan,Plymouth,MI,48170-4308
Saint Anthony College of Nursing - Highland Community College Campus,Freeport,IL,610320000
Saint Anthony College of Nursing - Sauk Valley Community College Campus,Dixon,IL,610219112
Triton College - Intl Union of Operating Engr Local 399 Trning Fac.,Chicago,IL,60616-1823
PJ's College of Cosmetology- Brownsburg,Brownsburg,IN,46112-1462
PJ's College of Cosmetology-Crestwood,Crestwood,KY,40014-9323
PJ's College of Cosmetology- Jeffersonville,Jeffersonville,IN,47130-6290
Ivy Tech Community College-South Bend/Elkhart,South Bend,IN,46601-3415
Ivy Tech Community College-Columbus,Columbus,IN,47203-1868
Ivy Tech Community College-Muncie,Muncie,IN,47302-9448
Ivy Tech Community College-Kokomo,Kokomo,IN,46901-1373
Ivy Tech Community College-Lafayette,Lafayette,IN,47905-1373
Ivy Tech Community College-Fort Wayne,Fort Wayne,IN,46805-1489
Ivy Tech Community College-Sellersburg,Sellersburg,IN,47172-1897
Ivy Tech Community College-Evansville,Evansville,IN,47710-3398
Ivy Tech Community College-Terre Haute,Terre Haute,IN,47802-4898
Ivy Tech Community College-Richmond,Richmond,IN,47374-1298
Ivy Tech Community College-Lake County,East Chicago,IN,46312
Ivy Tech Community College-Madison,Madison,IN,47250-1881
